product_id,brand,product_type,price_range,item_price,product_rating,average_sentiment_score,positive_review_percentage,total_reviews,cluster,rag_document
P001247,Nimbus,Jeans,Mid Range ($50-$200),67.54,3.58,0.6666691104571024,83.33333333333334,6,4,"
Product ID: P001247

Brand: Nimbus

Product Type: Jeans

Price Range: Mid Range ($50-$200)

Price: $67.54

Product Rating: 3.58

Average Customer Sentiment Score:
0.6666691104571024

Positive Review Percentage:
83.33333333333334%

Total Customer Reviews:
6

Product Cluster:
4
"
P001002,Harbor,Skirt,Premium ($200-$500),209.1,3.68,0.7764929135640463,88.88888888888889,9,1,"
Product ID: P001002

Brand: Harbor

Product Type: Skirt

Price Range: Premium ($200-$500)

Price: $209.1

Product Rating: 3.68

Average Customer Sentiment Score:
0.7764929135640463

Positive Review Percentage:
88.88888888888889%

Total Customer Reviews:
9

Product Cluster:
1
"
P001301,Astra,Dress,Mid Range ($50-$200),114.51,2.87,0.9998466372489928,100.0,6,2,"
Product ID: P001301

Brand: Astra

Product Type: Dress

Price Range: Mid Range ($50-$200)

Price: $114.51

Product Rating: 2.87

Average Customer Sentiment Score:
0.9998466372489928

Positive Review Percentage:
100.0%

Total Customer Reviews:
6

Product Cluster:
2
"
P000162,Orion,Jacket,Mid Range ($50-$200),151.39,3.99,0.4986882209777832,75.0,8,0,"
Product ID: P000162

Brand: Orion

Product Type: Jacket

Price Range: Mid Range ($50-$200)

Price: $151.39

Product Rating: 3.99

Average Customer Sentiment Score:
0.4986882209777832

Positive Review Percentage:
75.0%

Total Customer Reviews:
8

Product Cluster:
0
"
P000022,Nimbus,T-Shirt,Budget ($0-$50),37.65,4.54,0.6654168963432312,83.33333333333334,6,1,"
Product ID: P000022

Brand: Nimbus

Product Type: T-Shirt

Price Range: Budget ($0-$50)

Price: $37.65

Product Rating: 4.54

Average Customer Sentiment Score:
0.6654168963432312

Positive Review Percentage:
83.33333333333334%

Total Customer Reviews:
6

Product Cluster:
1
"
P001370,Harbor,T-Shirt,Budget ($0-$50),38.92,3.94,0.712680459022522,85.71428571428571,7,1,"
Product ID: P001370

Brand: Harbor

Product Type: T-Shirt

Price Range: Budget ($0-$50)

Price: $38.92

Product Rating: 3.94

Average Customer Sentiment Score:
0.712680459022522

Positive Review Percentage:
85.71428571428571%

Total Customer Reviews:
7

Product Cluster:
1
"
P000614,Solace,T-Shirt,Mid Range ($50-$200),135.38,3.3,0.5990276336669922,80.0,10,1,"
Product ID: P000614

Brand: Solace

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $135.38

Product Rating: 3.3

Average Customer Sentiment Score:
0.5990276336669922

Positive Review Percentage:
80.0%

Total Customer Reviews:
10

Product Cluster:
1
"
P000494,Astra,Sweater,Mid Range ($50-$200),148.44,3.65,0.9988925059636434,100.0,6,2,"
Product ID: P000494

Brand: Astra

Product Type: Sweater

Price Range: Mid Range ($50-$200)

Price: $148.44

Product Rating: 3.65

Average Customer Sentiment Score:
0.9988925059636434

Positive Review Percentage:
100.0%

Total Customer Reviews:
6

Product Cluster:
2
"
P001080,Acme,Dress,Budget ($0-$50),18.31,4.63,0.5547744168175591,77.77777777777779,9,3,"
Product ID: P001080

Brand: Acme

Product Type: Dress

Price Range: Budget ($0-$50)

Price: $18.31

Product Rating: 4.63

Average Customer Sentiment Score:
0.5547744168175591

Positive Review Percentage:
77.77777777777779%

Total Customer Reviews:
9

Product Cluster:
3
"
P000304,Willow,T-Shirt,Mid Range ($50-$200),120.82,2.68,0.4544166760011153,72.72727272727273,11,1,"
Product ID: P000304

Brand: Willow

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $120.82

Product Rating: 2.68

Average Customer Sentiment Score:
0.4544166760011153

Positive Review Percentage:
72.72727272727273%

Total Customer Reviews:
11

Product Cluster:
1
"
