product_id,brand,product_type,price_range,item_price,product_rating,average_sentiment_score,positive_review_percentage,total_reviews,cluster
P001247,Nimbus,Jeans,Mid Range ($50-$200),67.54,3.58,0.6666691104571024,83.33333333333334,6,4
P001002,Harbor,Skirt,Premium ($200-$500),209.1,3.68,0.7764929135640463,88.88888888888889,9,1
P001301,Astra,Dress,Mid Range ($50-$200),114.51,2.87,0.9998466372489929,100.0,6,2
P000162,Orion,Jacket,Mid Range ($50-$200),151.39,3.99,0.4986882209777832,75.0,8,0
P000022,Nimbus,T-Shirt,Budget ($0-$50),37.65,4.54,0.6654168963432312,83.33333333333334,6,1
P001370,Harbor,T-Shirt,Budget ($0-$50),38.92,3.94,0.712680459022522,85.71428571428571,7,1
P000614,Solace,T-Shirt,Mid Range ($50-$200),135.38,3.3,0.5990276336669922,80.0,10,1
P000494,Astra,Sweater,Mid Range ($50-$200),148.44,3.65,0.9988925059636434,100.0,6,2
P001080,Acme,Dress,Budget ($0-$50),18.31,4.63,0.5547744168175591,77.77777777777779,9,3
P000304,Willow,T-Shirt,Mid Range ($50-$200),120.82,2.68,0.4544166760011153,72.72727272727273,11,1
P000991,Everest,Skirt,Budget ($0-$50),19.08,4.39,0.5540835658709208,77.77777777777779,9,1
P000310,Orion,Sweater,Mid Range ($50-$200),67.11,3.06,0.7126729743821281,85.71428571428571,7,2
P001639,Everest,Shirt,Premium ($200-$500),253.6,3.94,-0.00011411309242248535,50.0,12,3
P000748,Willow,T-Shirt,Mid Range ($50-$200),128.37,2.86,0.3322356144587199,66.66666666666666,6,1
P000967,Astra,T-Shirt,Mid Range ($50-$200),106.52,3.3,0.4998095706105232,75.0,8,2
P001601,GreenLeaf,Shirt,Mid Range ($50-$200),93.07,4.61,0.42786470481327604,71.42857142857143,7,3
P000455,NeoTech,Jacket,Mid Range ($50-$200),65.06,4.45,0.6663092076778412,83.33333333333334,6,0
P001871,GreenLeaf,Jeans,Mid Range ($50-$200),118.36,2.75,0.3331444064776103,66.66666666666666,6,4
P000864,NeoTech,Shirt,Mid Range ($50-$200),168.44,3.48,0.5992393910884857,80.0,10,3
P000775,Everest,Hoodie,Mid Range ($50-$200),69.1,3.82,0.5544334120220609,77.77777777777779,9,5
P001290,Solace,T-Shirt,Mid Range ($50-$200),108.57,4.07,0.3989358961582184,70.0,10,1
P001430,Astra,Jeans,Budget ($0-$50),41.44,3.29,0.19820278882980347,60.0,10,4
P000059,Orion,Dress,Mid Range ($50-$200),176.48,3.98,0.7481854408979416,87.5,8,3
P000826,Acme,T-Shirt,Budget ($0-$50),26.79,4.38,0.5989521622657776,80.0,5,1
P000542,Everest,Jacket,Budget ($0-$50),36.54,3.77,0.5377371173638564,76.92307692307693,13,0
P000113,Harbor,Jacket,Budget ($0-$50),22.55,4.39,0.5535397926966349,77.77777777777779,9,0
P000032,Orion,T-Shirt,Premium ($200-$500),265.99,3.75,0.5544438494576348,77.77777777777779,9,1
P001424,GreenLeaf,T-Shirt,Mid Range ($50-$200),85.29,4.72,0.8317337334156036,91.66666666666666,12,1
P000111,GreenLeaf,Skirt,Mid Range ($50-$200),55.21,3.86,0.7989197492599487,90.0,10,1
P000522,Harbor,Skirt,Budget ($0-$50),17.96,3.17,-0.33418692151705426,33.33333333333333,6,1
P000822,Astra,Sweater,Budget ($0-$50),36.08,2.58,0.19971446990966796,60.0,5,2
P000123,Solace,Shirt,Premium ($200-$500),244.44,3.38,0.6648624241352081,83.33333333333334,6,3
P001525,Astra,T-Shirt,Mid Range ($50-$200),134.22,3.82,0.39929484724998476,70.0,10,2
P000562,Willow,Hoodie,Budget ($0-$50),23.79,3.15,0.9998593330383301,100.0,4,5
P000808,Astra,Jeans,Mid Range ($50-$200),125.02,3.22,0.6654873589674631,83.33333333333334,6,4
P000388,GreenLeaf,T-Shirt,Premium ($200-$500),252.09,2.92,0.7750976747936673,88.88888888888889,9,1
P001733,Zenith,Jeans,Mid Range ($50-$200),166.64,3.39,0.49894804507493973,75.0,8,4
P000130,NeoTech,T-Shirt,Mid Range ($50-$200),152.63,2.78,0.9981450488169988,100.0,12,1
P000466,Nimbus,Shirt,Mid Range ($50-$200),76.15,2.61,0.9998466798237392,100.0,7,3
P000942,Acme,Hoodie,Mid Range ($50-$200),157.0,4.58,0.9973239501317342,100.0,6,5
